Server Name	ServerName	IPAddressOfSQLServer	name	last_backup_time	recovery_model_desc	state_desc	backup_type	physical_device_name
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	JIRAADMPROD	Mar  9 2026  4:40PM	FULL	RESTORING	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\FULL\10.71.36.18\Full\JIRAADMPROD\JIRAADMPROD_09032026_FULL.bkp
DMT_DR_DB - 10.182.8.55 DR of 10.71.36.180_2	FPBDRDMTDB	10.182.8.55	PBDISTLOGIN_DMT	Sep 19 2025 10:44PM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.180\10.182.8.55_Full\PBDISTLOGIN_DMT_19092025.bak
DMT_DR_DB - 10.182.8.55 DR of 10.71.36.180_2	FPBDRDMTDB	10.182.8.55	PBDMTTXNINFO	Sep 19 2025 10:44PM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.180\10.182.8.55_Full\PBDMTTXNINFO_19092025.bak
DMT_DR_DB - 10.182.8.55 DR of 10.71.36.180_2	FPBDRDMTDB	10.182.8.55	MTAMigration	Sep 19 2025 10:42PM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.180\10.182.8.55_Full\MTAMigration_19092025.bak
DMT_DR_DB - 10.182.8.55 DR of 10.71.36.180_2	FPBDRDMTDB	10.182.8.55	PBDISTLOGIN_DMT	Sep 12 2024  1:00AM	FULL	ONLINE	Differential database	T:\PBDISTLOGIN_DMT_backup_2024_09_12_010002_3757686.bak
DMT_DR_DB - 10.182.8.55 DR of 10.71.36.180_2	FPBDRDMTDB	10.182.8.55	PBDMTTXNINFO	Aug  7 2025  8:52AM	FULL	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.180\Diff\PBDMTTXNINFO\PBDMTTXNINFO_backup_2025_08_07_085218_7939817.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	Audit	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	Y:\Audit\Audit_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	ESB_NPCI_IMPS_XML	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	Y:\ESB_NPCI_IMPS_XML\ESB_NPCI_IMPS_XML_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	model	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	Y:\model\model_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	msdb	Mar 20 2026  1:00AM	SIMPLE	ONLINE	Differential database	Y:\msdb\msdb_backup_2026_03_20_010002_8993346.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	Audit	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	X:\Audit\Audit_backup_2026_03_15_000001_9806598.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	ESB_NPCI_IMPS_XML	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	X:\ESB_NPCI_IMPS_XML\ESB_NPCI_IMPS_XML_backup_2026_03_15_000001_9806598.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	master	Mar 15 2026 12:00AM	SIMPLE	ONLINE	Full database	X:\master\master_backup_2026_03_15_000001_9806598.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	model	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	X:\model\model_backup_2026_03_15_000001_9806598.bak
AEPSIMPSDB - 10.71.36.91	AEPSIMPSDB	10.71.36.91	msdb	Mar 15 2026 12:00AM	SIMPLE	ONLINE	Full database	X:\msdb\msdb_backup_2026_03_15_000001_9806598.bak
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	10.71.36.130	KwikId_vkyc	Feb 22 2026  1:00AM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\FULL\10.71.36.10\KwikId_vkyc\KwikId_vkyc_backup_2026_02_22_010003_2666002.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	AUDIT	Mar 20 2026  1:30AM	FULL	ONLINE	Differential database	U:\AUDIT\AUDIT_backup_2026_03_20_013003_6441936.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	model	Mar 20 2026  1:30AM	FULL	ONLINE	Differential database	U:\model\model_backup_2026_03_20_013003_6441936.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	msdb	Mar 20 2026  1:30AM	SIMPLE	ONLINE	Differential database	U:\msdb\msdb_backup_2026_03_20_013003_6441936.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	ReportServerFPB	Mar 20 2026  1:30AM	FULL	ONLINE	Differential database	U:\ReportServerFPB\ReportServerFPB_backup_2026_03_20_013003_6441936.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	ReportServerFPBTempDB	Mar 20 2026  1:30AM	SIMPLE	ONLINE	Differential database	U:\ReportServerFPBTempDB\ReportServerFPBTempDB_backup_2026_03_20_013003_6441936.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	Reportviewer_New	Mar 20 2026  1:30AM	SIMPLE	ONLINE	Differential database	U:\Reportviewer_New\Reportviewer_New_backup_2026_03_20_013003_6441936.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	AUDIT	Mar 14 2026  2:00AM	FULL	ONLINE	Full database	X:\Full\AUDIT\AUDIT_backup_2026_03_14_020001_3862122.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	master	Mar 14 2026  2:00AM	SIMPLE	ONLINE	Full database	X:\Full\master\master_backup_2026_03_14_020001_3862122.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	model	Mar 14 2026  2:00AM	FULL	ONLINE	Full database	X:\Full\model\model_backup_2026_03_14_020001_3862122.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	msdb	Mar 14 2026  2:00AM	SIMPLE	ONLINE	Full database	X:\Full\msdb\msdb_backup_2026_03_14_020001_3862122.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	ReportServerFPB	Mar 14 2026  2:00AM	FULL	ONLINE	Full database	X:\Full\ReportServerFPB\ReportServerFPB_backup_2026_03_14_020001_3862122.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	ReportServerFPBTempDB	Mar 14 2026  2:00AM	SIMPLE	ONLINE	Full database	X:\Full\ReportServerFPBTempDB\ReportServerFPBTempDB_backup_2026_03_14_020001_3862122.bak
FPB_REPORT - PRODFPBRPTDB - 10.101.13.105	PRODFPBRPTDB	10.101.13.105	Reportviewer_New	Mar 14 2026  2:00AM	SIMPLE	ONLINE	Full database	X:\Full\Reportviewer_New\Reportviewer_New_backup_2026_03_14_020001_3862122.bak
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	ESB_ModularLimit	Mar 20 2026 12:00AM	FULL	ONLINE	Differential database	U:\ESB_ModularLimit\ESB_ModularLimit_backup_2026_03_20_000003_5274061.bak
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	model	Mar 20 2026 12:00AM	FULL	ONLINE	Differential database	U:\model\model_backup_2026_03_20_000003_5274061.bak
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	msdb	Mar 20 2026 12:00AM	SIMPLE	ONLINE	Differential database	U:\msdb\msdb_backup_2026_03_20_000003_5274061.bak
